Year,Month,Region,Product_Line,Sales,Cost_of_Goods_Sold,Operating_Expenses,Marketing_Expenses,R&D_Expenses,Admin_Expenses,Other_Income,Interest_Expense,Tax_Rate
2024,May,East,Apparel,1720000,1032000,172000,68800,34400,68800,11000,24000,0.25
2024,May,East,Food,1320000,792000,132000,52800,26400,52800,8000,18000,0.25
2024,May,West,Electronics,2920000,1752000,292000,116800,58400,116800,18000,39000,0.25
2024,May,West,Apparel,2320000,1392000,232000,92800,46400,92800,15000,31000,0.25
2024,May,West,Food,1820000,1092000,182000,72800,36400,72800,11000,23000,0.25
2024,Jun,North,Electronics,2780000,1668000,278000,111200,55600,111200,17500,37000,0.25
2024,Jun,North,Apparel,2180000,1308000,218000,87200,43600,87200,14500,30000,0.25
2024,Jun,North,Food,1680000,1008000,168000,67200,33600,67200,10500,23000,0.25
2024,Jun,South,Electronics,2580000,1548000,258000,103200,51600,103200,16500,35000,0.25
2024,Jun,South,Apparel,1980000,1188000,198000,79200,39600,79200,13500,27000,0.25
2024,Jun,South,Food,1580000,948000,158000,63200,31600,63200,9500,21000,0.25
2024,Jun,East,Electronics,2280000,1368000,228000,91200,45600,91200,15500,33000,0.25
2024,Jun,East,Apparel,1780000,1068000,178000,71200,35600,71200,11500,25000,0.25
2024,Jun,East,Food,1380000,828000,138000,55200,27600,55200,8500,19000,0.25
2024,Jun,West,Electronics,2980000,1788000,298000,119200,59600,119200,18500,40000,0.25
2024,Jun,West,Apparel,2380000,1428000,238000,95200,47600,95200,15500,32000,0.25
2024,Jun,West,Food,1880000,1128000,188000,75200,37600,75200,11500,24000,0.25
2024,Jul,North,Electronics,2850000,1710000,285000,114000,57000,114000,18000,38000,0.25
2024,Jul,North,Apparel,2250000,1350000,225000,90000,45000,90000,15000,31000,0.25
2024,Jul,North,Food,1750000,1050000,175000,70000,35000,70000,11000,24000,0.25
2024,Jul,South,Electronics,2650000,1590000,265000,106000,53000,106000,17000,36000,0.25
2024,Jul,South,Apparel,2050000,1230000,205000,82000,41000,82000,14000,28000,0.25
2024,Jul,South,Food,1650000,990000,165000,66000,33000,66000,10000,22000,0.25
2024,Jul,East,Electronics,2350000,1410000,235000,94000,47000,94000,16000,34000,0.25
2024,Jul,East,Apparel,1850000,1110000,185000,74000,37000,74000,12000,26000,0.25
2024,Jul,East,Food,1450000,870000,145000,58000,29000,58000,9000,20000,0.25
2024,Jul,West,Electronics,3050000,1830000,305000,122000,61000,122000,19000,41000,0.25
2024,Jul,West,Apparel,2450000,1470000,245000,98000,49000,98000,16000,33000,0.25
2024,Jul,West,Food,1950000,1170000,195000,78000,39000,78000,12000,25000,0.25
2024,Aug,North,Electronics,2920000,1752000,292000,116800,58400,116800,18500,39000,0.25
2024,Aug,North,Apparel,2320000,1392000,232000,92800,46400,92800,15500,32000,0.25
2024,Aug,North,Food,1820000,1092000,182000,72800,36400,72800,11500,25000,0.25
2024,Aug,South,Electronics,2720000,1632000,272000,108800,54400,108800,17500,37000,0.25
2024,Aug,South,Apparel,2120000,1272000,212000,84800,42400,84800,14500,29000,0.25
2024,Aug,South,Food,1720000,1032000,172000,68800,34400,68800,10500,23000,0.25
2024,Aug,East,Electronics,2420000,1452000,242000,96800,48400,96800,16500,35000,0.25
2024,Aug,East,Apparel,1920000,1152000,192000,76800,38400,76800,12500,27000,0.25
2024,Aug,East,Food,1520000,912000,152000,60800,30400,60800,9500,21000,0.25
2024,Aug,West,Electronics,3120000,1872000,312000,124800,62400,124800,19500,42000,0.25
2024,Aug,West,Apparel,2520000,1512000,252000,100800,50400,100800,16500,34000,0.25
2024,Aug,West,Food,2020000,1212000,202000,80800,40400,80800,12500,26000,0.25
2024,Sep,North,Electronics,2980000,1788000,298000,119200,59600,119200,19000,40000,0.25
2024,Sep,North,Apparel,2380000,1428000,238000,95200,47600,95200,16000,33000,0.25
2024,Sep,North,Food,1880000,1128000,188000,75200,37600,75200,12000,26000,0.25
2024,Sep,South,Electronics,2780000,1668000,278000,111200,55600,111200,18000,38000,0.25
2024,Sep,South,Apparel,2180000,1308000,218000,87200,43600,87200,15000,30000,0.25
2024,Sep,South,Food,1780000,1068000,178000,71200,35600,71200,11000,24000,0.25
2024,Sep,East,Electronics,2480000,1488000,248000,99200,49600,99200,17000,36000,0.25
2024,Sep,East,Apparel,1980000,1188000,198000,79200,39600,79200,13000,28000,0.25
2024,Sep,East,Food,1580000,948000,158000,63200,31600,63200,10000,22000,0.25
2024,Sep,West,Electronics,3180000,1908000,318000,127200,63600,127200,20000,43000,0.25
2024,Sep,West,Apparel,2580000,1548000,258000,103200,51600,103200,17000,35000,0.25
2024,Sep,West,Food,2080000,1248000,208000,83200,41600,83200,13000,27000,0.25
2024,Oct,North,Electronics,3050000,1830000,305000,122000,61000,122000,19500,41000,0.25
2024,Oct,North,Apparel,2450000,1470000,245000,98000,49000,98000,16500,34000,0.25
2024,Oct,North,Food,1950000,1170000,195000,78000,39000,78000,12500,27000,0.25
2024,Oct,South,Electronics,2850000,1710000,285000,114000,57000,114000,18500,39000,0.25
2024,Oct,South,Apparel,2250000,1350000,225000,90000,45000,90000,15500,31000,0.25
2024,Oct,South,Food,1850000,1110000,185000,74000,37000,74000,11500,25000,0.25
2024,Oct,East,Electronics,2550000,1530000,255000,102000,51000,102000,17500,37000,0.25
2024,Oct,East,Apparel,2050000,1230000,205000,82000,41000,82000,13500,29000,0.25
2024,Oct,East,Food,1650000,990000,165000,66000,33000,66000,10500,23000,0.25
2024,Oct,West,Electronics,3250000,1950000,325000,130000,65000,130000,20500,44000,0.25
2024,Oct,West,Apparel,2650000,1590000,265000,106000,53000,106000,17500,36000,0.25
2024,Oct,West,Food,2150000,1290000,215000,86000,43000,86000,13500,28000,0.25
2024,Nov,North,Electronics,3120000,1872000,312000,124800,62400,124800,20000,42000,0.25
2024,Nov,North,Apparel,2520000,1512000,252000,100800,50400,100800,17000,35000,0.25
2024,Nov,North,Food,2020000,1212000,202000,80800,40400,80800,13000,28000,0.25
2024,Nov,South,Electronics,2920000,1752000,292000,116800,58400,116800,19000,40000,0.25
2024,Nov,South,Apparel,2320000,1392000,232000,92800,46400,92800,16000,32000,0.25
2024,Nov,South,Food,1920000,1152000,192000,76800,38400,76800,12000,26000,0.25
2024,Nov,East,Electronics,2620000,1572000,262000,104800,52400,104800,18000,38000,0.25
2024,Nov,East,Apparel,2120000,1272000,212000,84800,42400,84800,14000,30000,0.25
2024,Nov,East,Food,1720000,1032000,172000,68800,34400,68800,11000,24000,0.25
2024,Nov,West,Electronics,3320000,1992000,332000,132800,66400,132800,21000,45000,0.25
2024,Nov,West,Apparel,2720000,1632000,272000,108800,54400,108800,18000,37000,0.25
2024,Nov,West,Food,2220000,1332000,222000,88800,44400,88800,14000,29000,0.25
2024,Dec,North,Electronics,3200000,1920000,320000,128000,64000,128000,20500,43000,0.25
2024,Dec,North,Apparel,2600000,1560000,260000,104000,52000,104000,17500,36000,0.25
2024,Dec,North,Food,2100000,1260000,210000,84000,42000,84000,13500,29000,0.25
2024,Dec,South,Electronics,3000000,1800000,300000,120000,60000,120000,19500,41000,0.25
2024,Dec,South,Apparel,2400000,1440000,240000,96000,48000,96000,16500,33000,0.25
2024,Dec,South,Food,2000000,1200000,200000,80000,40000,80000,12500,27000,0.25
2024,Dec,East,Electronics,2700000,1620000,270000,108000,54000,108000,18500,39000,0.25
2024,Dec,East,Apparel,2200000,1320000,220000,88000,44000,88000,14500,31000,0.25
2024,Dec,East,Food,1800000,1080000,180000,72000,36000,72000,11500,25000,0.25
2024,Dec,West,Electronics,3400000,2040000,340000,136000,68000,136000,21500,46000,0.25
2024,Dec,West,Apparel,2800000,1680000,280000,112000,56000,112000,18500,38000,0.25
2024,Dec,West,Food,2300000,1380000,230000,92000,46000,92000,14500,30000,0.25
